품목 410개 · 최근 90일 출고 있는 것만 · 7일치 · 입수 배수로 올림
코드	품목명	90일출고	하루평균	입수	적정후보	현재고	지금적정
9904013324	160Ø(파이), PET 원형종이용기 뚜껑,투명,D	1,847	20.5	1	144	-717	
9904013323	900CC, 160Ø(파이) 원형종이용기 몸체,크라	1,793	19.9	1	140	126	
9904013222	160Ø(파이) PP 뚜껑 타공,300EA/BOX	1,321	14.7	1	103	73	
1000736038	(배고픈덮밥이)덮밥용기,몸체,1290CC,160*8	1,290	14.3	1	101	1,454	
9904013376	샌드위치펄프용기 흰색 600ml,일체형,500개	591	6.6	1	46	34	
1000769172	버블티스트로우,투명,벌크,DIA12MM,L25CM,	526	5.8	1	41	-1,231	
9904013027	은박보냉팩,중,35*40+5CM,200EA	494	5.5	1	39	112	
1000767819	(은호)(파스타예요)사각죽용기 뚜껑,180*130,	483	5.4	1	38	-103	
1000783957	(호호솥밥)비닐쇼핑백,중,그린팩,37(M16*2)*	440	4.9	1	35	-48	
9904013126	(은호)사각죽용기 중 흑색 몸통 180*130*H5	402	4.5	1	32	-94	
9904013336	원형종이용기뚜껑,투명,DIA180(178)MM,PE	392	4.4	1	31	714	
1000773357	(호호솥밥)먹는법스티커,100MM/아트/코팅,100	388	4.3	1	31	54	
4010000072	일회용숟가락,흰색,개별포장 ,PP,175MM,150	374	4.2	1	30	-686	
1000794792	(허그런치)1350CC 180*155*73MM, 컵	349	3.9	1	28	273	
1000773313	(허그런치)대나무젓가락,현대산업,개별포장,인쇄,20	330	3.7	1	26	-361	
1000793900	(아임도넛)슬리브인박스,선피앤피,8KG(200EA/	267	3.0	1	21	81	
1000793899	(아임도넛)슬리브터널형,선피앤피,8KG(200EA/	266	3.0	1	21	82	
1000771765	(호호솥밥)원형스티커,80MM/아트/코팅,1000E	253	2.8	1	20	30	
9904013072	WL-F800 Set(흰색),198*116*53MM	238	2.6	1	19	-28	
1000761291	아이스컵뚜껑,돔리드,92파이,에코팩,DIA92MM,	224	2.5	1	18	-593	
1000793898	(아임도넛)4입도넛케이스,선피앤피,8KG(200EA	210	2.3	1	17	151	
9904013214	줄무늬크라프트노루지, 250*350mm, 3000e	205	2.3	1	16	50	
9904013347	수저세트,무지,검정,숟가락(L170MM,PP),젓가	200	2.2	1	16	12	
1000762685	마시는리드,종이컵용,90파이12/16/20oz,PE	195	2.2	1	16	-112	
9904013343	아이스컵,92파이,14OZ PET,1000EA	169	1.9	1	14	177	
1000800552	(PAZAC)박스소,제이투팩,8.4KG(400EA/	158	1.8	1	13	-31	
9904013330	13OZ 종이컵 무지,DIA85MM,평량300G,로	151	1.7	1	12	-262	
1000765251	미니탕용기뚜껑,JH,158,PP,백색,400EA	150	1.7	1	12	44	
1000765851	미니탕용기몸체,소,JH,158*60,PP,검정,40	148	1.6	1	12	58	
1000795678	(아임도넛)도넛핑크비닐,코네트,11.8KG(500E	147	1.6	1	12	66	
1000799250	(코끼리떡볶이) 종이용기 900cc, 160*140	146	1.6	1	12	97	
1000800551	(PAZAC)박스대,제이투팩,11.2KG(400EA	145	1.6	1	12	48	
9904012901	(은호)신형 5칸 돈가스 도시락(EH),세트, 몸체	145	1.6	1	12	-206	
9904013213	은박보냉팩,중,260*300MM+40MM,400EA	134	1.5	1	11	89	
1000730686	(런던베이글)칵테일냅킨,흰색,W230mm,L230m	130	1.4	1	11	38	
9904013207	(아주)소스용기뚜껑,95파이,PP,1000EA/BO	129	1.4	1	11	-256	
1000773278	(호호솥밥)타코박스/종이도시락,16*9*4CM,40	128	1.4	1	10	-50	
9904013206	소스용기,95파이*H47MM(소,200ML,흰색,P	126	1.4	1	10	-263	
9904013170	74Ø(무타공) 크림치즈용,소,무타공 평 뚜껑,	122	1.4	1	10	38	
9904013186	74Ø 3.25온스,소스컵,소,740*500*38m	115	1.3	1	9	37	
9904013127	(은호)사각죽용기 대,흑색 몸통 180*130*H6	110	1.2	1	9	7	
9904013190	GP-47(상), 800EA,168*73MM	108	1.2	1	9	6	
9904013353	펄프용기몸체,1칸,210*130*70MM,1000M	107	1.2	1	9	-226	
9904013191	GP-47-2A(하),검정,800EA,168*73*	107	1.2	1	9	7	
1000793901	(아임도넛)각대봉투,130*80*230,내유노루지,	105	1.2	1	9	41	
1000807475	(아임도넛)키오프콜라보박스,선피앤피,8KG(200E	101	1.1	1	8	49	
4010001072	일회용숟가락,검정색,개별포장,175MM,PP,150	101	1.1	1	8	374	
9904013364	냉면용기 뚜껑,JH,195ø,PP,400EA/BOX	97	1.1	1	8	39	
9904013029	(무지)물티슈,40PL130/펄지1도120/100*	97	1.1	1	8	-163	
1000759549	(프로티너)펄프용기뚜껑,PET,500EA.BOX(B	95	1.1	1	8	-214	
1000795134	(아벡쉐리)U 봉투,150*150(110+40) 노	89	1.0	1	7	91	
1000771794	(호호솥밥)비닐지퍼팩/스탠드형,오차츠케용,200EA	88	1.0	1	7	489	
1000738697	(파더스)줄무늬크라프트깔지,270*270mm,코팅,	85	0.9	1	7	4	
1000795135	(아벡쉐리)각대봉투 중,150*90*280, 노루지	85	0.9	1	7	30	
9904013135	(은호)타원찜용기,소,몸체,100EA/BOX	83	0.9	1	7	-13	
9904013136	(은호)타원찜용기,소,뚜껑,100EA/BOX	83	0.9	1	7	-13	
1000758813	(프로티너)냅킨,흰색,115*115MM,크라프트,삼	79	0.9	1	7	-94	
9904012551	아이스컵,92파이,16OZ,PET,,1000EA/B	79	0.9	1	7	217	
9904013148	각대봉투,소,120*60*220MM,무지크라프트,1	79	0.9	1	7	15	
1000455370	아이스컵,20OZ,92Ø(파이),에코팩,DIA92M	78	0.9	1	7	-222	
9904013348	직사각크라프트용기,500ML,170*120*43MM	78	0.9	1	7	-163	
1000751954	PLA버블티스트로우,백색,PLA개별포장,DIA11*	77	0.9	1	6	-88	
1000783958	(호호솥밥)비닐쇼핑백,대,그린팩,38(M15*2)*	77	0.9	1	6	51	
1000740597	(보울레시피)1,290CC,160Ø(파이) 샐러드용	74	0.8	1	6	98	
1000740601	(보울레시피)160Ø(파이) 샐러드용기 뚜껑, 16	73	0.8	1	6	-273	
9904013350	1290CC,DIA160Ø(파이) 원형종이용기 몸체	73	0.8	1	6	287	
9904013337	냉면용기몸체,중,DIA200MM,H70MM,PP,2	71	0.8	1	6	-31	
1000807476	(아임도넛)키오프콜라보비닐,선피앤피,11.8KG(5	70	0.8	1	6	24	
9904013089	비닐봉투,대,투명무지,310(M210)*500MM,	69	0.8	1	6	-31	
9904013338	냉면용기뚜껑,중,DIA200MM,PP,200EA/B	69	0.8	1	6	-26	
9904013344	92파이 아이스컵뚜껑,평리드(타공)	64	0.7	1	5	-5	
1000772434	(포케올데이)타코박스,일광,165*65*75MM,4	61	0.7	1	5	14	
9904013363	냉면용기몸체(소),검정,JH,195ø*65MM,PP	61	0.7	1	5	19	
1000775197	(호호솥밥)스테이크스티커,21*10MM,2도,모조9	60	0.7	1	5	15	
9904013349	직사각크라프트용기뚜껑,172*120MM,PP,300	60	0.7	1	5	-117	
1000772364	소스용기,소,백색(Set),JH,DIA68*30MM	59	0.7	1	5	-44	
1000455371	무지종이컵,10OZ,로앤그린,DIA85*H95MM,	58	0.6	1	5	-113	
1000738698	(파더스)각대봉투,대, 크라프트 180*110*31	56	0.6	1	5	-59	
9904013132	(은호)사각죽용기몸체,2칸,검정180*130*H65	55	0.6	1	5	-39	
4010004072	일회용포크,검정색,개별포장,160MM,2000/BO	54	0.6	1	5	-139	
1000765253	소스용기뚜껑,JH,105Ø(파이),PP,백색,100	53	0.6	1	5	-130	
1000767984	(포케올데이)스프용기몸체,330CC,98파이*80*	52	0.6	1	5	88	
1000767985	(포케올데이)스프용기뚜껑,330CC,100파이*15	52	0.6	1	5	136	
1000455369	핫도그반케이스,무지,크라프트 500ea	51	0.6	1	4	-117	
1000715525	(명동피자)물티슈 1도인쇄, 1000매	51	0.6	1	4	-137	
1000803825	(귯걸귯보이)종이컵 6.5oz 170G,3도인쇄20	51	0.6	1	4	-51	
9904013032	(은호)195Ø(파이) 소 흑색 몸통 구형,PP,3	50	0.6	1	4	-20	
1000727644	(헬키푸키)일회용젓가락,대나무,개별포장,2000EA	49	0.5	1	4	13	
1000792439	(은호)(옐로우파스타)사각죽용기뚜껑,PP,500EA	49	0.5	1	4	50	
1000795149	(PAZAC)노루지 250*250mm,35g, 무코	49	0.5	1	4	26	
9904012967	나이프 개별포장,흰색,낱개커팅 167MM,2000/	49	0.5	1	4	17	
1030134143	(정희)사각죽용기 뚜껑,원색	48	0.5	1	4	601	
9904013033	(은호)195Ø(파이) 뚜껑,구형,PP,300EA/	48	0.5	1	4	-18	
9904013137	(은호)사각죽용기 소 원색 몸통 180*130*45	45	0.5	1	4	10	
9904013335	1300CC 원형종이용기 몸체,크라프트, 무지 18	45	0.5	1	4	-145	
1000750018	(런던베이글)곰돌이병,뚜껑포함,360ML,65*50	43	0.5	1	4	174	
9904013332	92파이 아이스컵뚜껑,돔리드(타공)	41	0.5	1	4	429	
1000788501	(포케올데이)두부볼용기리드,PET,500EA/BOX	40	0.4	1	4	92	
9904013070	머그리드,투명,92파이 PET(Tall Lid),투	40	0.4	1	4	-11	
1000759544	(프로티너)소스컵뚜껑,2OZ,62파이,무타공 평리드	39	0.4	1	4	-104	
1000765854	소스용기몸체,중,BFP,105Ø(파이)*58,PP,	39	0.4	1	4	-94	
1000794701	(아임도넛)원형간지,75mm,8.5kg(10000e	39	0.4	1	4	16	
1000758525	(주니아)랩지,크라프트,330*330MM,코팅,1도	38	0.4	1	3	-26	
9904013250	크라프트도시락용기(2호),185*90*40MM(밑면	38	0.4	1	3	-1	
1000759541	(프로티너)소스컵몸체,2OZ,62파이,DIA62MM	37	0.4	1	3	-102	
1000772435	(포케올데이)타코홀더,일광,220*155MM,4도,	37	0.4	1	3	33	
9904013352	사각펄프용기,햄버거용,백색,153*147*H85MM	37	0.4	1	3	-59	
9904013328	은박보냉팩/대,45*40+5CM,200EA	37	0.4	1	3	173	
1000788500	(포케올데이)두부볼용기,105*80*50MM,인쇄,	36	0.4	1	3	97	
1000804387	(아임도넛)원형간지,325MM,대영전산,10KG(3	36	0.4	1	3	15	
9904013212	은박 보냉팩,소,180*230MM+40MM,600E	36	0.4	1	3	36	
1000736191	(런던&레이&하이)F92Ø(파이)코울슬로+크림치즈용	35	0.4	1	3	0	
1000771713	(포케올데이)랩샌드위치노루지,30*30CM,1도인쇄	33	0.4	1	3	39	
1000796364	(파작)칵테일냅킨, 흰색, 1도인쇄	33	0.4	1	3	-49	
9904013386	92Ø, 7온스 + L21온스,크림치즈용 용기,	33	0.4	1	3	-44	
1000727524	(헬키푸키)비닐봉투,소,270*M85*440,2도인	32	0.4	1	3	0	
1000775201	(호호솥밥)전복스티커,21*10MM,2도,모조90G	32	0.4	1	3	4	
9904013366	냉면용기몸체(소),백색,JH,195ø*65MM,PP	32	0.3	1	3	-9	
1000769371	PLA스트로우,백색,PLA개별포장,DIA7MM,L2	31	0.3	1	3	-47	
1000455399	진공포장지,25*35CM,0.07T,1000EA/B	30	0.3	1	3	-24	
1000755869	(주니아)컵홀더, 10/13OZ, 인쇄코팅, 100	30	0.3	1	3	10	
1000745688	HD비닐포장봉투,소,30㎛*230*420(M120)	29	0.3	1	3	5	
1000775195	(호호솥밥)부타동스티커,21*10MM,2도,모조90	29	0.3	1	3	10	
1000738699	(파더스)컵홀더,16온스전용,높이67MM,1000E	27	0.3	1	3	-45	
1000745704	사각용기몸체,크라프트,SEIL,130*90*30MM	27	0.3	1	3	-52	
1000764840	(꾸아)칵테일 냅킨 흰색,1도,10000개	27	0.3	1	3	-65	
1000775199	(호호솥밥)온센스티커,21*10MM,2도,모조90G	27	0.3	1	3	8	
9904013346	아이스컵,98파이,20OZ,PET,1000EA/BO	26	0.3	1	3	76	
1000455373	아이스크림스푼(대),분홍,벌크 씨아이텍,L122MM	25	0.3	1	2	-35	
1000735984	(올리앤)피자박스,대,12인치,305*305*40M	25	0.3	1	2	24	
1000745690	HD비닐포장봉투,중,30㎛*300*470(M140)	24	0.3	1	2	-36	
1000792545	(런던베이글)필로소피종이컵,16온스,1도인쇄,100	24	0.3	1	2	37	
1000735991	(올리앤)피자박스,소,6인치,270*170*50MM	23	0.3	1	2	-30	
1000794939	(아벡쉐리)칵테일냅킨 흰색, 인쇄	23	0.3	1	2	-26	
9904013265	직사각찜용기,뚜껑,투명	23	0.3	48	48	13	
9904013365	소스용기,소,검정(Set),JH,DIA68*30MM	23	0.3	1	2	-17	
1000735419	(올리앤커피)물티슈,무광1도,110*100*10MM	22	0.2	1	2	-19	
1000795136	(아벡쉐리)홀더,12/16 인쇄 SC 합지(내피 흰	22	0.2	1	2	-5	
1000795438	(호호솥밥)대창스티커, 21*10mm 모조90g/2	22	0.2	1	2	13	
1000797679	(PAZAC)13온스 종이컵,베다 인쇄 로엔그린,	22	0.2	1	2	-7	
1000802403	(아임도넛)에스파콜라보박스,제이투팩,8KG(200E	22	0.2	1	2	9	
1000455395	진공파우치,소,15*20CM,0.07T,2000EA	21	0.2	1	2	-54	
1000713441	(명동피자)피자박스,대,손잡이형,10인치,270*2	21	0.2	1	2	26	
1000719149	(레이어드)하이웨스트&베이글박스,소,130*100*	21	0.2	1	2	14	
1000745149	무지종이컵,16OZ,DIA90*135MM,1000E	21	0.2	1	2	-30	
1000775198	(호호솥밥)연어스티커,21*10MM,2도,모조90G	21	0.2	1	2	10	
1000775202	(호호솥밥)쭈꾸미스티커,21*10MM,2도,모조90	21	0.2	1	2	13	
4010003072	개별포장 포크,흰색,160MM,2000/BOX	21	0.2	1	2	-59	
1000738701	(파더스)비닐쇼핑백,소,PE,링펀지,230(M60*	20	0.2	1	2	-30	
1000775191	(호호솥밥)가자미스티커,21*10MM,2도,모조90	20	0.2	1	2	12	
1000787221	(호호솥밥)옥수수스티커,21*10MM,2도,모조90	20	0.2	1	2	11	
1000793089	케익박스(소),외식,선피앤피,130*103*8,화이	20	0.2	1	2	-27	
1000800220	(동해왕코다리)직사각찜용기(중),270*215*79	20	0.2	1	2	-30	
9904013008	짤주머니,18인치,(100매*20EA)/BOX	20	0.2	1	2	-75	
1000455375	크라프트사각용기몸체,무지,아주,145*130*135	19	0.2	1	2	-50	
1000730687	(레이어드)칵테일냅킨,강아지(프론트),L230mm,	19	0.2	1	2	3	
1000745691	HD비닐포장봉투,대,(350(M100)*520(무지	19	0.2	1	2	6	
1000769065	(주니아)비닐쇼핑백,중,350*400MM,HDPE1	19	0.2	1	2	6	
1000775194	(호호솥밥)명란스티커,21*10MM,2도,모조90G	19	0.2	1	2	11	
1000775200	(호호솥밥)장어스티커,21*10MM,2도,모조90G	19	0.2	1	2	7	
1000738652	(파더스베이글)칵테일냅킨,갈색,W230mm,L230	18	0.2	1	2	-40	
1002002153	105Ø(파이) 소스용기(뚜껑합포), 소, 검정, 	18	0.2	1	2	-34	
1010000108	HOT스프용기,474ml,무지,500EA/BOX	18	0.2	1	2	23	
9904013101	B-1000(타원형),몸통+뚜껑세트,212*157*	18	0.2	1	2	-6	
9904012580	1100CC,160Ø(파이) 원형종이용기 몸체, 크	18	0.2	1	2	15	
1000802405	(아임도넛)옐로우비닐,그린팩코리아,11.8KG(50	17	0.2	1	2	29	
9904013380	직사각크라프트용기,650ML,170*120*53MM	17	0.2	1	2	22	
1000753312	(아티스트)마시는리드, 92Ø(파이),한국피엘에이,	16	0.2	1	2	26	
